S.No,Latitude,Longitude,Elevation (m),Slope (°),Annual Rainfall (mm),Clay content (%),Sand content (%),Silt content (%),Vol. water content at -10 kPa (%),Vol. water content at -33 kPa (%),Vol. water content at -1500 kPa (%),Soil moisture (m³/m³),Land cover,Distance to road (m),State,District,Subdivision / Taluk,Material Involved,Initiation Year,Elevation Band,Slope Band,Rainfall Band,Road Distance Band,Decade,Elevation Band Sort,Slope Band Sort,Rainfall Band Sort,Road Distance Band Sort
9621,23.882833,92.241583,194.0,11.84,2218.0,27.3,37.2,35.5,40.5,33.1,18.4,0.184,Tree cover,2762.7,Tripura,North Tripura,Kanchanpur,Debris,2015,0–500 m,10–20°,2000–2500 mm,>1000 m,2010s,1,2,3,6
9622,23.88319,92.869,656.0,31.72,1911.0,33.8,23.1,43.2,41.9,35.4,20.2,0.202,Tree cover,127.7,Mizoram,Aizawl,Darlawn,Debris,2016,500–1000 m,30–40°,1500–2000 mm,100–500 m,2010s,2,4,2,4
9624,23.88375,92.866778,703.0,32.67,1953.0,33.9,23.0,43.2,41.9,35.4,20.2,0.202,Tree cover,0.4,Mizoram,Aizawl,Darlawn,Debris,2016,500–1000 m,30–40°,1500–2000 mm,0–10 m,2010s,2,4,2,1
9625,23.883944,92.880528,884.0,28.6,1904.0,32.9,21.8,45.3,41.8,35.7,20.5,0.205,Tree cover,10.7,Mizoram,Aizawl,Darlawn,Debris,2016,500–1000 m,20–30°,1500–2000 mm,10–50 m,2010s,2,3,2,2
9638,23.890694,93.275024,1702.0,23.05,2058.0,31.7,31.6,36.8,41.8,34.8,20.4,0.204,Tree cover,6.3,Mizoram,Champhai,Ngopa,Rock,2017,1500–2000 m,20–30°,2000–2500 mm,0–10 m,2010s,4,3,3,1
9641,23.891722,92.84925,579.0,28.9,2008.0,30.2,25.4,44.5,42.8,35.6,18.5,0.185,Tree cover,23.2,Mizoram,Aizawl,Darlawn,Debris,2016,500–1000 m,20–30°,2000–2500 mm,10–50 m,2010s,2,3,3,2
9653,23.899583,92.663694,196.0,8.92,2081.0,25.4,31.0,43.6,41.4,34.4,17.4,0.174,Tree cover,386.6,Mizoram,Aizawl,Thingdawl,Rock,2021,0–500 m,0–10°,2000–2500 mm,100–500 m,2020s,1,1,3,4
9659,23.902111,92.922556,1140.0,21.86,1844.0,30.8,24.5,44.7,40.9,34.7,20.2,0.202,Tree cover,0.3,Mizoram,Aizawl,Darlawn,Debris,2016,1000–1500 m,20–30°,1500–2000 mm,0–10 m,2010s,3,3,2,1
9660,23.905027,93.185776,1003.0,29.81,1510.0,28.0,25.5,46.5,41.0,33.1,18.6,0.186,Tree cover,2541.1,Mizoram,Champhai,Ngopa,Rock,2016,1000–1500 m,20–30°,1500–2000 mm,>1000 m,2010s,3,3,2,6
9662,23.907555,93.015114,1102.0,26.0,1699.0,30.4,21.0,48.7,41.2,33.7,18.7,0.187,Tree cover,0.2,Mizoram,Aizawl,Phullen,Debris,2017,1000–1500 m,20–30°,1500–2000 mm,0–10 m,2010s,3,3,2,1
9663,23.908806,93.177391,1024.0,30.93,1530.0,28.1,26.5,45.4,41.2,33.4,17.5,0.175,Tree cover,3451.8,Mizoram,Champhai,Ngopa,Debris,2017,1000–1500 m,30–40°,1500–2000 mm,>1000 m,2010s,3,4,2,6
9666,23.91,92.45,216.0,19.23,2361.0,25.8,30.5,43.7,41.2,34.0,18.8,0.188,Tree cover,36.8,Mizoram,Mamit,Zawlnuam,Debris,2019,0–500 m,10–20°,2000–2500 mm,10–50 m,2010s,1,2,3,2
9672,23.915778,92.742417,1013.0,29.11,2184.0,30.3,26.4,43.2,43.3,33.4,20.7,0.207,Tree cover,4.6,Mizoram,Aizawl,Thingdawl,Rock,2016,1000–1500 m,20–30°,2000–2500 mm,0–10 m,2010s,3,3,3,1
9674,23.918389,92.923472,1108.0,26.5,1822.0,32.0,23.2,44.8,41.6,33.9,19.6,0.196,Tree cover,13.8,Mizoram,Aizawl,Darlawn,Debris,2016,1000–1500 m,20–30°,1500–2000 mm,10–50 m,2010s,3,3,2,2
9676,23.918694,92.740389,1042.0,15.13,2208.0,29.7,27.2,43.1,42.7,34.3,20.0,0.2,Tree cover,90.5,Mizoram,Aizawl,Thingdawl,Debris,2016,1000–1500 m,10–20°,2000–2500 mm,50–100 m,2010s,3,2,3,3
9677,23.918917,92.650833,155.0,9.11,2018.0,27.1,30.5,42.5,40.7,35.4,17.7,0.177,Tree cover,462.8,Mizoram,Mamit,Reiek,Rock,2016,0–500 m,0–10°,2000–2500 mm,100–500 m,2010s,1,1,3,4
9678,23.922639,92.736528,881.0,25.07,2208.0,31.9,27.0,41.1,42.2,34.1,19.8,0.198,Grassland,6.5,Mizoram,Aizawl,Thingdawl,Debris,2016,500–1000 m,20–30°,2000–2500 mm,0–10 m,2010s,2,3,3,1
9681,23.92425,92.925222,1115.0,32.76,1811.0,30.7,22.6,46.7,41.0,33.4,20.7,0.207,Grassland,4.6,Mizoram,Aizawl,Darlawn,Debris,2016,1000–1500 m,30–40°,1500–2000 mm,0–10 m,2010s,3,4,2,1
9688,23.929083,92.922778,1112.0,23.1,1846.0,30.0,23.6,46.4,40.9,33.3,19.4,0.194,Tree cover,4.5,Mizoram,Aizawl,Darlawn,Rock,2016,1000–1500 m,20–30°,1500–2000 mm,0–10 m,2010s,3,3,2,1
9691,23.934222,92.730611,789.0,26.43,2249.0,30.8,28.9,40.3,42.1,34.1,19.7,0.197,Tree cover,4.8,Mizoram,Aizawl,Thingdawl,Debris,2016,500–1000 m,20–30°,2000–2500 mm,0–10 m,2010s,2,3,3,1
9692,23.934417,92.667222,187.0,34.61,2187.0,24.6,32.2,43.2,41.2,33.1,18.5,0.185,Tree cover,16.7,Mizoram,Aizawl,Thingdawl,Rock,2016,0–500 m,30–40°,2000–2500 mm,10–50 m,2010s,1,4,3,2
9700,23.9395,92.927889,1219.0,34.13,1878.0,31.7,26.2,42.2,41.4,35.3,19.4,0.194,Tree cover,6.7,Mizoram,Aizawl,Darlawn,Debris,2016,1000–1500 m,30–40°,1500–2000 mm,0–10 m,2010s,3,4,2,1
9701,23.94,92.37,673.0,26.87,3047.0,29.4,32.8,37.7,41.2,33.3,17.9,0.179,Tree cover,162.6,Mizoram,Mamit,Zawlnuam,Rock,2019,500–1000 m,20–30°,3000–4000 mm,100–500 m,2010s,2,3,5,4
9702,23.940106,92.680592,237.0,27.12,2146.0,29.4,32.6,38.0,40.9,32.2,17.8,0.178,Built-up,0.4,Mizoram,Aizawl,Thingdawl,Debris,2016,0–500 m,20–30°,2000–2500 mm,0–10 m,2010s,1,3,3,1
9703,23.940333,92.680833,249.0,32.07,2146.0,29.4,32.6,38.0,40.9,32.2,17.8,0.178,Built-up,8.7,Mizoram,Aizawl,Thingdawl,Rock,2016,0–500 m,30–40°,2000–2500 mm,0–10 m,2010s,1,4,3,1
9704,23.942722,93.213531,1047.0,27.01,1471.0,31.2,27.3,41.5,41.1,33.2,18.2,0.182,Tree cover,20.0,Mizoram,Champhai,Ngopa,Debris,2017,1000–1500 m,20–30°,<1500 mm,10–50 m,2010s,3,3,1,2
9705,23.943241,92.933604,1268.0,30.08,1891.0,32.3,26.8,40.9,41.1,33.6,19.9,0.199,Built-up,1.3,Mizoram,Aizawl,Darlawn,Debris,2016,1000–1500 m,30–40°,1500–2000 mm,0–10 m,2010s,3,4,2,1
9706,23.94325,92.933611,1268.0,30.08,1891.0,32.3,26.8,40.9,41.1,33.6,19.9,0.199,Built-up,0.1,Mizoram,Aizawl,Darlawn,Debris,2016,1000–1500 m,30–40°,1500–2000 mm,0–10 m,2010s,3,4,2,1
9709,23.95,94.07,1011.0,14.31,2062.0,28.9,35.8,35.3,42.8,36.1,18.3,0.183,Grassland,9474.8,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,10–20°,2000–2500 mm,>1000 m,2010s,3,2,3,6
9713,23.95,92.37,770.0,20.14,3094.0,28.8,32.8,38.5,40.9,33.7,18.4,0.184,Tree cover,54.5,Mizoram,Mamit,Zawlnuam,Rock,2019,500–1000 m,20–30°,3000–4000 mm,50–100 m,2010s,2,3,5,3
9716,23.950417,93.037109,1065.0,30.81,1635.0,33.8,24.1,42.2,41.3,33.0,18.5,0.185,Tree cover,6.2,Mizoram,Aizawl,Phullen,Debris,2017,1000–1500 m,30–40°,1500–2000 mm,0–10 m,2010s,3,4,2,1
9726,23.96,94.06,1119.0,32.95,2071.0,27.3,33.8,38.9,43.0,36.2,17.5,0.175,Grassland,8850.5,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,30–40°,2000–2500 mm,>1000 m,2010s,3,4,3,6
9729,23.962278,93.035309,1014.0,36.88,1667.0,32.4,23.1,44.6,41.1,33.6,19.9,0.199,Built-up,5.3,Mizoram,Aizawl,Phullen,Debris,2017,1000–1500 m,30–40°,1500–2000 mm,0–10 m,2010s,3,4,2,1
9740,23.971078,92.682781,312.0,26.82,2250.0,30.5,29.5,40.0,41.1,33.6,19.0,0.19,Built-up,0.6,Mizoram,Kolasib,Thingdawl,Rock,2016,0–500 m,20–30°,2000–2500 mm,0–10 m,2010s,1,3,3,1
9742,23.972222,92.68325,324.0,31.81,2250.0,32.0,29.2,38.9,41.1,33.6,19.0,0.19,Grassland,20.2,Mizoram,Kolasib,Thingdawl,Rock,2016,0–500 m,30–40°,2000–2500 mm,10–50 m,2010s,1,4,3,2
9751,23.98,94.03,1473.0,22.05,2055.0,32.3,32.2,35.5,42.5,35.9,17.6,0.176,Tree cover,8529.5,Manipur,Chandel,Khengjoy,Rock,2018,1000–1500 m,20–30°,2000–2500 mm,>1000 m,2010s,3,3,3,6
9750,23.98,94.02,1093.0,19.97,2037.0,26.9,34.2,38.9,42.0,34.9,18.2,0.182,Tree cover,8962.1,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,10–20°,2000–2500 mm,>1000 m,2010s,3,2,3,6
9759,23.982,92.718028,681.0,22.59,2308.0,30.1,28.8,41.0,42.6,34.1,19.0,0.19,Tree cover,23.1,Mizoram,Kolasib,Thingdawl,Debris,2016,500–1000 m,20–30°,2000–2500 mm,10–50 m,2010s,2,3,3,2
9760,23.982639,93.011055,675.0,27.82,1700.0,28.7,20.5,50.8,41.3,34.8,18.9,0.189,Tree cover,0.3,Mizoram,Aizawl,Phullen,Debris,2017,500–1000 m,20–30°,1500–2000 mm,0–10 m,2010s,2,3,2,1
9761,23.983667,92.683333,431.0,25.9,2382.0,30.1,29.5,40.5,41.1,32.6,19.5,0.195,Tree cover,8.6,Mizoram,Kolasib,Thingdawl,Rock,2016,0–500 m,20–30°,2000–2500 mm,0–10 m,2010s,1,3,3,1
9763,23.984972,92.772028,604.0,26.75,2208.0,32.0,29.7,38.3,41.1,34.5,19.6,0.196,Tree cover,1.6,Mizoram,Aizawl,Thingdawl,Debris,2016,500–1000 m,20–30°,2000–2500 mm,0–10 m,2010s,2,3,3,1
9764,23.986109,92.681581,435.0,19.3,2382.0,29.6,30.1,40.3,41.3,33.2,19.2,0.192,Tree cover,78.5,Mizoram,Kolasib,Thingdawl,Rock,2016,0–500 m,10–20°,2000–2500 mm,50–100 m,2010s,1,2,3,3
9765,23.9865,92.709806,628.0,27.61,2332.0,29.7,29.8,40.4,42.0,33.2,18.5,0.185,Tree cover,14.2,Mizoram,Kolasib,Thingdawl,Debris,2016,500–1000 m,20–30°,2000–2500 mm,10–50 m,2010s,2,3,3,2
9766,23.986667,92.681556,436.0,13.9,2382.0,29.6,30.1,40.3,41.3,33.2,19.2,0.192,Tree cover,42.9,Mizoram,Kolasib,Thingdawl,Debris,2020,0–500 m,10–20°,2000–2500 mm,10–50 m,2020s,1,2,3,2
9771,23.99,94.0,1318.0,35.23,2034.0,29.8,32.6,37.6,42.2,35.0,17.4,0.174,Tree cover,8254.7,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,30–40°,2000–2500 mm,>1000 m,2010s,3,4,3,6
9768,23.99,93.94,1599.0,31.53,2071.0,27.8,32.5,39.8,43.0,35.9,19.1,0.191,Tree cover,11717.5,Manipur,Chandel,Chakpikarong,Debris,2020,1500–2000 m,30–40°,2000–2500 mm,>1000 m,2020s,4,4,3,6
9770,23.99,94.04,1234.0,24.05,2049.0,28.9,32.0,39.1,41.9,35.9,17.6,0.176,Grassland,7049.5,Manipur,Chandel,Khengjoy,Rock,2018,1000–1500 m,20–30°,2000–2500 mm,>1000 m,2010s,3,3,3,6
9773,23.99016,92.68075,485.0,20.49,2382.0,30.9,30.2,39.0,41.3,33.2,19.2,0.192,Grassland,26.1,Mizoram,Kolasib,Thingdawl,Rock,2016,0–500 m,20–30°,2000–2500 mm,10–50 m,2010s,1,3,3,2
9776,23.997222,92.681722,541.0,32.89,2405.0,30.6,29.4,40.0,42.0,33.2,19.3,0.193,Grassland,3.6,Mizoram,Kolasib,Thingdawl,Debris,2016,500–1000 m,30–40°,2000–2500 mm,0–10 m,2010s,2,4,3,1
9787,24.0,94.0,1141.0,35.85,2043.0,26.9,31.6,41.5,42.1,36.0,18.1,0.181,Tree cover,7206.9,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,30–40°,2000–2500 mm,>1000 m,2010s,3,4,3,6
9781,24.0,93.97,1600.0,37.09,2054.0,30.0,30.0,40.0,42.8,35.8,20.1,0.201,Tree cover,8786.7,Manipur,Chandel,Khengjoy,Rock,2015,1500–2000 m,30–40°,2000–2500 mm,>1000 m,2010s,4,4,3,6
9788,24.0,93.82,1194.0,26.96,1915.0,29.7,31.9,38.4,41.1,34.9,19.1,0.191,Tree cover,12864.9,Manipur,Chandel,Chakpikarong,Rock,2017,1000–1500 m,20–30°,1500–2000 mm,>1000 m,2010s,3,3,2,6
9794,24.004186,92.904111,892.0,35.04,1863.0,35.3,23.8,41.0,40.2,32.9,18.8,0.188,Tree cover,1953.9,Mizoram,Aizawl,Darlawn,Soil,2016,500–1000 m,30–40°,1500–2000 mm,>1000 m,2010s,2,4,2,6
9795,24.004313,92.904068,902.0,35.36,1863.0,35.3,23.8,41.0,40.2,32.9,18.8,0.188,Tree cover,1952.5,Mizoram,Aizawl,Darlawn,Soil,2016,500–1000 m,30–40°,1500–2000 mm,>1000 m,2010s,2,4,2,6
9797,24.005278,92.677083,625.0,38.01,2408.0,27.7,32.2,40.1,42.4,33.3,18.6,0.186,Tree cover,4.2,Mizoram,Kolasib,Thingdawl,Rock,2016,500–1000 m,30–40°,2000–2500 mm,0–10 m,2010s,2,4,3,1
9807,24.01,93.97,1320.0,25.06,2037.0,28.1,30.5,41.4,42.9,34.4,18.2,0.182,Tree cover,7967.7,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,20–30°,2000–2500 mm,>1000 m,2010s,3,3,3,6
9805,24.01,93.99,1241.0,35.08,2045.0,26.9,32.9,40.2,42.2,36.1,17.9,0.179,Grassland,6676.4,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,30–40°,2000–2500 mm,>1000 m,2010s,3,4,3,6
9801,24.01,93.96,1630.0,29.47,2061.0,28.1,31.1,40.9,41.9,36.0,18.2,0.182,Tree cover,8720.2,Manipur,Chandel,Khengjoy,Rock,2015,1500–2000 m,20–30°,2000–2500 mm,>1000 m,2010s,4,3,3,6
9804,24.01,93.98,1176.0,33.87,2041.0,27.8,31.2,41.0,42.7,34.8,17.8,0.178,Tree cover,7279.8,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,30–40°,2000–2500 mm,>1000 m,2010s,3,4,3,6
9809,24.010279,92.767056,713.0,34.59,2233.0,29.9,31.5,38.6,42.6,33.9,19.0,0.19,Tree cover,54.3,Mizoram,Aizawl,Thingdawl,Rock,2016,500–1000 m,30–40°,2000–2500 mm,50–100 m,2010s,2,4,3,3
9813,24.013528,92.674722,632.0,26.55,2457.0,29.2,32.9,37.9,42.7,34.5,19.7,0.197,Built-up,11.6,Mizoram,Kolasib,Thingdawl,Debris,2021,500–1000 m,20–30°,2000–2500 mm,10–50 m,2020s,2,3,3,2
9820,24.02,93.97,1155.0,27.23,2037.0,27.3,34.0,38.7,42.1,35.6,17.6,0.176,Tree cover,7227.9,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,20–30°,2000–2500 mm,>1000 m,2010s,3,3,3,6
9822,24.021514,92.673778,682.0,43.86,2462.0,31.4,30.6,38.0,42.6,34.9,19.1,0.191,Tree cover,7.5,Mizoram,Kolasib,Thingdawl,Rock,2016,500–1000 m,40–50°,2000–2500 mm,0–10 m,2010s,2,5,3,1
9823,24.022079,92.771729,798.0,30.68,2212.0,33.0,28.3,38.6,42.0,36.0,18.7,0.187,Grassland,12.2,Mizoram,Aizawl,Thingdawl,Soil,2016,500–1000 m,30–40°,2000–2500 mm,10–50 m,2010s,2,4,3,2
9825,24.022347,92.772075,807.0,26.66,2212.0,33.0,28.3,38.6,42.0,36.0,18.7,0.187,Grassland,9.0,Mizoram,Aizawl,Thingdawl,Soil,2016,500–1000 m,20–30°,2000–2500 mm,0–10 m,2010s,2,3,3,1
9829,24.023916,93.194336,1252.0,44.92,1599.0,34.6,24.9,40.5,40.7,34.1,19.4,0.194,Grassland,10.4,Mizoram,Champhai,Ngopa,Debris,2017,1000–1500 m,40–50°,1500–2000 mm,10–50 m,2010s,3,5,2,2
9831,24.024289,92.771361,856.0,7.03,2212.0,30.9,28.6,40.5,42.0,36.0,18.7,0.187,Tree cover,12.4,Mizoram,Aizawl,Thingdawl,Debris,2016,500–1000 m,0–10°,2000–2500 mm,10–50 m,2010s,2,1,3,2
9833,24.025094,92.769158,869.0,19.42,2201.0,30.5,28.7,40.8,42.0,36.0,18.7,0.187,Tree cover,9.1,Mizoram,Aizawl,Thingdawl,Rock,2016,500–1000 m,10–20°,2000–2500 mm,0–10 m,2010s,2,2,3,1
9837,24.025676,92.914807,1029.0,39.22,1867.0,33.2,24.3,42.5,40.5,34.0,19.5,0.195,Tree cover,14.0,Mizoram,Aizawl,Darlawn,Rock,2016,1000–1500 m,30–40°,1500–2000 mm,10–50 m,2010s,3,4,2,2
9841,24.028721,92.909301,1064.0,23.39,1867.0,32.6,23.5,43.9,41.1,33.0,19.5,0.195,Tree cover,7.0,Mizoram,Aizawl,Darlawn,Soil,2016,1000–1500 m,20–30°,1500–2000 mm,0–10 m,2010s,3,3,2,1
9845,24.03,93.81,1269.0,9.13,1947.0,29.9,31.4,38.7,42.0,35.1,19.3,0.193,Tree cover,9613.1,Manipur,Chandel,Chakpikarong,Rock,2018,1000–1500 m,0–10°,1500–2000 mm,>1000 m,2010s,3,1,2,6
9849,24.030793,92.793313,621.0,28.17,2205.0,27.1,31.9,41.0,42.2,35.7,19.4,0.194,Tree cover,2163.9,Mizoram,Aizawl,Thingdawl,Soil,2016,500–1000 m,20–30°,2000–2500 mm,>1000 m,2010s,2,3,3,6
9851,24.0314,92.258,184.0,24.22,2278.0,30.7,36.4,32.9,40.3,33.0,19.1,0.191,Tree cover,21.3,Tripura,North Tripura,Kanchanpur,Debris,2021,0–500 m,20–30°,2000–2500 mm,10–50 m,2020s,1,3,3,2
9852,24.0335,92.100694,112.0,19.57,2281.0,26.1,34.4,39.5,39.9,32.3,18.0,0.18,Tree cover,3568.9,Tripura,Dhalai,Kumarghat,Soil,2016,0–500 m,10–20°,2000–2500 mm,>1000 m,2010s,1,2,3,6
9855,24.0368,92.244222,134.0,10.05,2253.0,31.6,34.9,33.5,39.2,31.1,17.9,0.179,Tree cover,15.7,Tripura,North Tripura,Kanchanpur,Rock,2021,0–500 m,10–20°,2000–2500 mm,10–50 m,2020s,1,2,3,2
9857,24.037336,92.922455,907.0,22.66,1837.0,34.6,23.7,41.7,40.3,33.8,18.9,0.189,Tree cover,6.4,Mizoram,Aizawl,Darlawn,Debris,2016,500–1000 m,20–30°,1500–2000 mm,0–10 m,2010s,2,3,2,1
9859,24.037574,92.922489,907.0,25.66,1837.0,34.6,23.7,41.7,40.3,33.8,18.9,0.189,Tree cover,10.3,Mizoram,Aizawl,Darlawn,Soil,2016,500–1000 m,20–30°,1500–2000 mm,10–50 m,2010s,2,3,2,2
9861,24.039139,92.106944,134.0,9.57,2281.0,27.8,34.9,37.3,39.7,32.2,17.6,0.176,Tree cover,2698.5,Tripura,Dhalai,Kumarghat,Debris,2016,0–500 m,0–10°,2000–2500 mm,>1000 m,2010s,1,1,3,6
9864,24.04,94.08,984.0,29.7,2171.0,26.7,33.5,39.8,43.2,35.9,17.8,0.178,Tree cover,432.0,Manipur,Chandel,Khengjoy,Rock,2018,500–1000 m,20–30°,2000–2500 mm,100–500 m,2010s,2,3,3,4
9868,24.043187,92.77542,973.0,35.77,2200.0,30.6,30.6,38.7,42.1,34.3,19.4,0.194,Tree cover,12.6,Mizoram,Aizawl,Thingdawl,Rock,2016,500–1000 m,30–40°,2000–2500 mm,10–50 m,2010s,2,4,3,2
9870,24.043492,92.775423,969.0,31.03,2200.0,31.1,31.0,37.9,42.1,34.3,19.4,0.194,Tree cover,14.5,Mizoram,Aizawl,Thingdawl,Rock,2016,500–1000 m,30–40°,2000–2500 mm,10–50 m,2010s,2,4,3,2
9871,24.045278,92.775169,961.0,30.7,2200.0,31.1,31.0,37.9,42.1,34.3,19.4,0.194,Grassland,5.7,Mizoram,Aizawl,Thingdawl,Rock,2016,500–1000 m,30–40°,2000–2500 mm,0–10 m,2010s,2,4,3,1
9874,24.048556,92.314306,83.0,22.46,2208.0,28.8,34.4,36.8,38.4,33.6,18.0,0.18,Tree cover,3514.5,Tripura,North Tripura,Zawlnuam,Debris,2015,0–500 m,20–30°,2000–2500 mm,>1000 m,2010s,1,3,3,6
9877,24.05,94.07,1135.0,34.42,2118.0,27.4,33.7,38.9,42.8,36.4,18.6,0.186,Tree cover,103.6,Manipur,Chandel,Khengjoy,Rock,2018,1000–1500 m,30–40°,2000–2500 mm,100–500 m,2010s,3,4,3,4
9880,24.05,92.38,633.0,29.22,3060.0,28.6,36.6,34.7,41.6,32.9,18.3,0.183,Tree cover,275.4,Mizoram,Mamit,Zawlnuam,Rock,2019,500–1000 m,20–30°,3000–4000 mm,100–500 m,2010s,2,3,5,4
9882,24.050391,92.775525,968.0,38.59,2225.0,31.5,30.6,37.8,42.0,34.3,19.3,0.193,Tree cover,18.0,Mizoram,Aizawl,Thingdawl,Rock,2016,500–1000 m,30–40°,2000–2500 mm,10–50 m,2010s,2,4,3,2
9888,24.06,94.04,1129.0,32.09,2110.0,26.4,33.8,39.8,42.6,37.2,17.6,0.176,Tree cover,111.4,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,30–40°,2000–2500 mm,100–500 m,2010s,3,4,3,4
9887,24.06,94.05,1147.0,34.79,2134.0,26.3,33.8,39.9,42.3,36.2,18.5,0.185,Tree cover,96.3,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,30–40°,2000–2500 mm,50–100 m,2010s,3,4,3,3
9889,24.06,94.02,1071.0,28.71,2110.0,28.1,32.9,38.9,41.6,36.5,18.2,0.182,Tree cover,582.3,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,20–30°,2000–2500 mm,500–1000 m,2010s,3,3,3,5
9892,24.061004,92.925342,800.0,40.27,1919.0,32.0,22.7,45.3,41.7,35.4,19.3,0.193,Tree cover,0.7,Mizoram,Aizawl,Darlawn,Soil,2016,500–1000 m,40–50°,1500–2000 mm,0–10 m,2010s,2,5,2,1
9893,24.062429,92.922576,776.0,31.29,1873.0,32.6,23.1,44.3,41.7,35.4,19.3,0.193,Tree cover,26.3,Mizoram,Aizawl,Darlawn,Rock,2016,500–1000 m,30–40°,1500–2000 mm,10–50 m,2010s,2,4,2,2
9898,24.067576,92.893076,999.0,7.51,1911.0,30.2,24.0,45.8,41.8,35.1,19.9,0.199,Grassland,2333.8,Mizoram,Aizawl,Darlawn,Rock,2012,500–1000 m,0–10°,1500–2000 mm,>1000 m,2010s,2,1,2,6
9903,24.069728,92.918457,758.0,12.37,1936.0,30.5,25.6,43.8,41.0,35.5,19.7,0.197,Tree cover,8.7,Mizoram,Aizawl,Darlawn,Soil,2016,500–1000 m,10–20°,1500–2000 mm,0–10 m,2010s,2,2,2,1
9905,24.07,94.03,1025.0,34.9,2117.0,29.2,32.7,38.2,41.4,35.5,17.9,0.179,Tree cover,513.0,Manipur,Chandel,Khengjoy,Rock,2018,1000–1500 m,30–40°,2000–2500 mm,500–1000 m,2010s,3,4,3,5
9906,24.070285,92.787738,974.0,31.67,2194.0,30.9,29.3,39.7,42.2,35.7,19.2,0.192,Tree cover,7.3,Mizoram,Aizawl,Thingdawl,Rock,2016,500–1000 m,30–40°,2000–2500 mm,0–10 m,2010s,2,4,3,1
9907,24.070611,92.290944,262.0,22.03,2641.0,28.2,35.4,36.4,41.4,33.0,18.0,0.18,Tree cover,1212.0,Tripura,North Tripura,Kanchanpur,Rock,2015,0–500 m,20–30°,2500–3000 mm,>1000 m,2010s,1,3,4,6
9908,24.071167,92.291694,247.0,26.8,2352.0,28.2,35.4,36.4,41.4,33.0,18.0,0.18,Tree cover,1290.4,Tripura,North Tripura,Kanchanpur,Debris,2015,0–500 m,20–30°,2000–2500 mm,>1000 m,2010s,1,3,3,6
9909,24.07462,92.91518,762.0,29.89,1903.0,30.6,26.0,43.4,41.3,35.2,19.8,0.198,Tree cover,8.6,Mizoram,Aizawl,Darlawn,Rock,2016,500–1000 m,20–30°,1500–2000 mm,0–10 m,2010s,2,3,2,1
9910,24.076035,92.790672,949.0,21.01,2196.0,31.2,27.8,40.9,41.7,34.2,19.2,0.192,Grassland,14.7,Mizoram,Aizawl,Thingdawl,Rock,2016,500–1000 m,20–30°,2000–2500 mm,10–50 m,2010s,2,3,3,2
9911,24.077014,92.790809,944.0,41.83,2196.0,31.2,27.8,40.9,41.7,34.2,19.2,0.192,Tree cover,15.6,Mizoram,Aizawl,Thingdawl,Rock,2016,500–1000 m,40–50°,2000–2500 mm,10–50 m,2010s,2,5,3,2
9913,24.07814,92.790905,939.0,34.3,2196.0,30.8,27.8,41.4,41.7,34.4,19.5,0.195,Tree cover,17.7,Mizoram,Aizawl,Thingdawl,Rock,2016,500–1000 m,30–40°,2000–2500 mm,10–50 m,2010s,2,4,3,2
9917,24.08,92.39,550.0,14.92,2948.0,29.4,35.5,35.1,41.8,32.4,18.5,0.185,Tree cover,276.8,Mizoram,Mamit,Zawlnuam,Soil,2019,500–1000 m,10–20°,2500–3000 mm,100–500 m,2010s,2,2,4,4
9916,24.08,94.03,1003.0,17.29,2125.0,27.4,33.4,39.2,42.5,35.2,18.3,0.183,Tree cover,594.6,Manipur,Chandel,Khengjoy,Rock,2018,1000–1500 m,10–20°,2000–2500 mm,500–1000 m,2010s,3,2,3,5
9922,24.09,93.91,1170.0,11.16,2040.0,27.8,31.7,40.5,40.5,33.7,19.0,0.19,Tree cover,7997.6,Manipur,Chandel,Chakpikarong,Rock,2015,1000–1500 m,10–20°,2000–2500 mm,>1000 m,2010s,3,2,3,6
9942,24.09,92.4,368.0,25.5,2857.0,30.3,35.4,34.4,40.8,33.0,18.6,0.186,Tree cover,325.7,Mizoram,Mamit,Zawlnuam,Debris,2019,0–500 m,20–30°,2500–3000 mm,100–500 m,2010s,1,3,4,4
9921,24.09,93.9,1010.0,13.61,2034.0,27.3,30.4,42.3,42.0,33.7,19.2,0.192,Tree cover,7126.1,Manipur,Chandel,Chakpikarong,Soil,2018,1000–1500 m,10–20°,2000–2500 mm,>1000 m,2010s,3,2,3,6
9930,24.09,94.04,1131.0,26.81,2122.0,28.2,33.4,38.3,42.1,34.8,17.1,0.171,Tree cover,242.7,Manipur,Chandel,Khengjoy,Rock,2015,1000–1500 m,20–30°,2000–2500 mm,100–500 m,2010s,3,3,3,4
